method,family,k,dataset,auc_mean,stability_nogueira,bacc,n_feat,runtime_fs,difficulty_tier,dsk_median_auc,relative_auc
anova,Filter,30,Leukemia_GSE63270,1.0,0.7473,0.9967,30.0,,Easy,1.0,0.0
anova,Filter,30,Liver_GSE14520_U133A,0.9832,0.8114,0.9619,30.0,,Easy,0.9832,0.0
anova,Filter,30,Liver_GSE76427,0.9664,0.8651,0.9549,30.0,,Easy,0.9685,-0.0021
anova,Filter,30,Lung_GSE19804,0.9918,0.777,0.9577,30.0,,Easy,0.989,0.0028
anova,Filter,30,Pancreatic_GSE16515,0.9419,0.521,0.8604,30.0,,Medium,0.9336,0.0083
anova,Filter,30,Prostate_GSE6919_U95Av2,0.6776,0.544,0.621,30.0,,Hard,0.6777,-0.0001
anova,Filter,30,Renal_GSE53757,0.8874,0.4652,0.8456,30.0,,Medium,0.8678,0.0196
anova,Filter,50,Bladder_GSE31189,0.6338,0.2755,0.5772,50.0,,Hard,0.651,-0.0172
anova,Filter,50,Breast_GSE70947,0.9335,0.6501,0.8779,50.0,,Medium,0.9363,-0.0028
anova,Filter,50,Colorectal_GSE44076,0.9999,0.8012,0.9927,50.0,,Easy,0.9999,0.0
anova,Filter,50,Colorectal_GSE44861,0.908,0.672,0.8569,50.0,,Medium,0.8956,0.0124
anova,Filter,50,Leukemia_GSE63270,1.0,0.7474,1.0,50.0,,Easy,1.0,0.0
anova,Filter,50,Liver_GSE14520_U133A,0.9832,0.8416,0.9608,50.0,,Easy,0.9824,0.0008
anova,Filter,50,Liver_GSE76427,0.9755,0.8211,0.9386,50.0,,Easy,0.9711,0.0044
anova,Filter,50,Lung_GSE19804,0.9899,0.7729,0.9577,50.0,,Easy,0.9885,0.0014
anova,Filter,50,Pancreatic_GSE16515,0.9357,0.5724,0.8483,50.0,,Medium,0.9269,0.0088
anova,Filter,50,Prostate_GSE6919_U95Av2,0.6666,0.597,0.6341,50.0,,Hard,0.6722,-0.0056
anova,Filter,50,Renal_GSE53757,0.8814,0.4971,0.8369,50.0,,Medium,0.8676,0.0138
mi,Filter,3,Bladder_GSE31189,0.5348,0.0811,0.5375,3.0,,Hard,0.5353,-0.0005
mi,Filter,3,Breast_GSE70947,0.9169,0.2911,0.8591,3.0,,Medium,0.9026,0.0143
mi,Filter,3,Colorectal_GSE44076,0.9969,0.25,0.9875,3.0,,Easy,0.9975,-0.0006
mi,Filter,3,Colorectal_GSE44861,0.8771,0.2054,0.8309,3.0,,Medium,0.8898,-0.0127
mi,Filter,3,Leukemia_GSE63270,0.9971,0.3855,0.9711,3.0,,Easy,0.9965,0.0006
mi,Filter,3,Liver_GSE14520_U133A,0.9772,0.3844,0.9525,3.0,,Easy,0.9747,0.0025
mi,Filter,3,Liver_GSE76427,0.9691,0.4589,0.9463,3.0,,Easy,0.9678,0.0013
mi,Filter,3,Lung_GSE19804,0.9899,0.3589,0.947,3.0,,Easy,0.9788,0.0111
mi,Filter,3,Pancreatic_GSE16515,0.9376,0.2511,0.8727,3.0,,Medium,0.8955,0.0421
mi,Filter,3,Prostate_GSE6919_U95Av2,0.73,0.1587,0.6651,3.0,,Hard,0.6976,0.0324
mi,Filter,3,Renal_GSE53757,0.8775,0.2311,0.8483,3.0,,Medium,0.8768,0.0007
mi,Filter,5,Bladder_GSE31189,0.5557,0.1026,0.5313,5.0,,Hard,0.5564,-0.0007
mi,Filter,5,Breast_GSE70947,0.9246,0.3666,0.8611,5.0,,Medium,0.914,0.0106
mi,Filter,5,Colorectal_GSE44076,0.9992,0.3346,0.9864,5.0,,Easy,0.9982,0.001
mi,Filter,5,Colorectal_GSE44861,0.8836,0.2445,0.844,5.0,,Medium,0.8876,-0.004
mi,Filter,5,Leukemia_GSE63270,0.9983,0.4279,0.98,5.0,,Easy,0.9988,-0.0005
mi,Filter,5,Liver_GSE14520_U133A,0.98,0.5659,0.9553,5.0,,Easy,0.9797,0.0003
mi,Filter,5,Liver_GSE76427,0.9706,0.5346,0.9517,5.0,,Easy,0.9671,0.0035
mi,Filter,5,Lung_GSE19804,0.9903,0.3753,0.9576,5.0,,Easy,0.9792,0.0111
mi,Filter,5,Pancreatic_GSE16515,0.9338,0.2059,0.8718,5.0,,Medium,0.9264,0.0074
